,Property,Description,Type,Default,Version
0,affix,Fixed mode of Anchor,boolean,true,
1,bounds,Bounding distance of anchor area,number,5,
2,getContainer,Scrolling container,() => HTMLElement,() => window,
3,getCurrentAnchor,Customize the anchor highlight,(activeLink: string) => string,-,
4,offsetTop,Pixels to offset from top when calculating position of scroll,number,0,
5,showInkInFixed,Whether show ink-square when affix={false},boolean,false,
6,targetOffset,"Anchor scroll offset, default as offsetTop, example",number,-,
7,onChange,Listening for anchor link change,(currentActiveLink: string) => void,,
8,onClick,Set the handler to handle click event,"(e: MouseEvent, link: object) => void",-,
9,items,"Data configuration option content, support nesting through children","{ key, href, title, target, children }[] see",-,5.1.0
10,direction,Set Anchor direction,vertical | horizontal,vertical,5.2.0
11,replace,Replace items' href in browser history instead of pushing it,boolean,false,5.7.0
