,Property,Description,Type,Default,Version
0,allowClear,Show clear button,boolean | { clearIcon?: ReactNode },false,5.8.0: Support Object type
1,autoFocus,If get focus when component mounted,boolean,false,
2,backfill,If backfill selected item the input when using keyboard,boolean,false,
3,children (for customize input element),Customize input element,HTMLInputElement | HTMLTextAreaElement | React.ReactElement<InputProps>,<Input />,
4,children (for dataSource),Data source to auto complete,React.ReactElement<OptionProps> | Array<React.ReactElement<OptionProps>>,-,
5,defaultActiveFirstOption,Whether active first option by default,boolean,true,
6,defaultOpen,Initial open state of dropdown,boolean,-,
7,defaultValue,Initial selected option,string,-,
8,disabled,Whether disabled select,boolean,false,
9,popupClassName,The className of dropdown menu,string,-,4.23.0
10,dropdownMatchSelectWidth,Determine whether the dropdown menu and the select input are the same width. Default set min-width same as input. Will ignore when value less than select width. false will disable virtual scroll,boolean | number,true,
11,filterOption,"If true, filter options by input, if function, filter options against it. The function will receive two arguments, inputValue and option, if the function returns true, the option will be included in the filtered set; Otherwise, it will be excluded","boolean | function(inputValue, option)",true,
12,notFoundContent,Specify content to show when no result matches,ReactNode,-,
13,open,Controlled open state of dropdown,boolean,-,
14,options,Select options. Will get better perf than jsx definition,"{ label, value }[]",-,
15,placeholder,The placeholder of input,string,-,
16,status,Set validation status,'error' | 'warning',-,4.19.0
17,value,Selected option,string,-,
18,variant,Variants of input,outlined | borderless | filled,outlined,5.13.0
19,onBlur,Called when leaving the component,function(),-,
20,onChange,Called when selecting an option or changing an input value,function(value),-,
21,onDropdownVisibleChange,Call when dropdown open,function(open),-,
22,onFocus,Called when entering the component,function(),-,
23,onSearch,Called when searching items,function(value),-,
24,onSelect,Called when a option is selected. param is option's value and option instance,"function(value, option)",-,
25,onClear,Called when clear,function,-,4.6.0
