,Property,Description,Type,Default,Version
0,alt,This attribute defines the alternative text describing the image,string,-,
1,gap,Letter type unit distance between left and right sides,number,4,4.3.0
2,icon,Custom icon type for an icon avatar,ReactNode,-,
3,shape,The shape of avatar,circle | square,circle,
4,size,The size of the avatar,"number | large | small | default | { xs: number, sm: number, ...}",default,4.7.0
5,src,The address of the image for an image avatar or image element,string | ReactNode,-,ReactNode: 4.8.0
6,srcSet,A list of sources to use for different screen resolutions,string,-,
7,draggable,Whether the picture is allowed to be dragged,boolean | 'true' | 'false',true,
8,crossOrigin,CORS settings attributes,'anonymous' | 'use-credentials' | '',-,4.17.0
9,onError,"Handler when img load error, return false to prevent default fallback behavior",() => boolean,-,
