,Property,Description,Type,Default,Version
0,dateCellRender,"Customize the display of the date cell, the returned content will be appended to the cell",function(date: Dayjs): ReactNode,-,
1,dateFullCellRender,"Customize the display of the date cell, the returned content will override the cell",function(date: Dayjs): ReactNode,-,
2,defaultValue,The date selected by default,dayjs,-,
3,disabledDate,"Function that specifies the dates that cannot be selected, currentDate is same dayjs object as value prop which you shouldn't mutate it](https://github.com/ant-design/ant-design/issues/30987)",(currentDate: Dayjs) => boolean,-,
4,fullscreen,Whether to display in full-screen,boolean,true,
5,headerRender,Render custom header in panel,"function(object:{value: Dayjs, type: string, onChange: f(), onTypeChange: f()})",-,
6,locale,The calendar's locale,object,(default),
7,mode,The display mode of the calendar,month | year,month,
8,monthCellRender,"Customize the display of the month cell, the returned content will be appended to the cell",function(date: Dayjs): ReactNode,-,
9,monthFullCellRender,"Customize the display of the month cell, the returned content will override the cell",function(date: Dayjs): ReactNode,-,
10,validRange,To set valid range,"[dayjs, dayjs]",-,
11,value,The current selected date,dayjs,-,
12,onChange,Callback for when date changes,function(date: Dayjs),-,
13,onPanelChange,Callback for when panel changes,"function(date: Dayjs, mode: string)",-,
14,onSelect,"Callback for when a date is selected, include source info","function(date: Dayjs, info: { source: 'year' | 'month' | 'date' | 'customize' })",-,info: 5.6.0
