,Property,Description,Type,Default,Version
0,actions,"The action list, shows at the bottom of the Card",Array<ReactNode>,-,
1,activeTabKey,Current TabPane's key,string,-,
2,bordered,Toggles rendering of the border around the card,boolean,true,
3,cover,Card cover,ReactNode,-,
4,defaultActiveTabKey,"Initial active TabPane's key, if activeTabKey is not set",string,-,
5,extra,Content to render in the top-right corner of the card,ReactNode,-,
6,hoverable,Lift up when hovering card,boolean,false,
7,loading,Shows a loading indicator while the contents of the card are being fetched,boolean,false,
8,size,Size of card,default | small,default,
9,tabBarExtraContent,Extra content in tab bar,ReactNode,-,
10,tabList,List of TabPane's head,TabItemType[],-,
11,tabProps,Tabs,-,-,
12,title,Card title,ReactNode,-,
13,type,"Card style type, can be set to inner or not set",string,-,
14,classNames,Config Card build-in module's className,"Record<SemanticDOM, string>",-,5.14.0
15,styles,Config Card build-in module's style,"Record<SemanticDOM, string>",-,5.14.0
16,onTabChange,Callback when tab is switched,(key) => void,-,
