,Property,Description,Type,Default,Version
0,allowClear,Show clear button,boolean | { clearIcon?: ReactNode },true,5.8.0: Support object type
1,autoClearSearchValue,Whether the current search will be cleared on selecting an item. Only applies when multiple is true,boolean,true,5.9.0
2,autoFocus,If get focus when component mounted,boolean,false,
3,changeOnSelect,"(Work on single select) Change value on each selection if set to true, see above demo for details",boolean,false,
4,className,The additional css class,string,-,
5,defaultValue,Initial selected value,string[] | number[],[],
6,disabled,Whether disabled select,boolean,false,
7,displayRender,The render function of displaying selected options,"(label, selectedOptions) => ReactNode",label => label.join(/),multiple: 4.18.0
8,tagRender,Custom render function for tags in multiple mode,"(label: string, onClose: function, value: string) => ReactNode",-,
9,popupClassName,The additional className of popup overlay,string,-,4.23.0
10,dropdownRender,Customize dropdown content,(menus: ReactNode) => ReactNode,-,4.4.0
11,expandIcon,Customize the current item expand icon,ReactNode,-,4.4.0
12,expandTrigger,"expand current item when click or hover, one of click hover",string,click,
13,fieldNames,Custom field name for label and value and children,object,"{ label: label, value: value, children: children }",
14,getPopupContainer,"Parent Node which the selector should be rendered to. Default to body. When position issues happen, try to modify it into scrollable content and position it relative. example",function(triggerNode),() => document.body,
15,loadData,"To load option lazily, and it cannot work with showSearch",(selectedOptions) => void,-,
16,maxTagCount,Max tag count to show. responsive will cost render performance,number | responsive,-,4.17.0
17,maxTagPlaceholder,Placeholder for not showing tags,ReactNode | function(omittedValues),-,4.17.0
18,maxTagTextLength,Max tag text length to show,number,-,4.17.0
19,notFoundContent,Specify content to show when no result matches,string,Not Found,
20,open,Set visible of cascader popup,boolean,-,4.17.0
21,options,The data options of cascade,Option[],-,
22,placeholder,The input placeholder,string,Please select,
23,placement,Use preset popup align config from builtinPlacements,bottomLeft bottomRight topLeft topRight,bottomLeft,4.17.0
24,showSearch,Whether show search input in single mode,boolean | Object,false,
25,size,The input size,large | middle | small,-,
26,status,Set validation status,'error' | 'warning',-,4.19.0
27,style,The additional style,CSSProperties,-,
28,suffixIcon,The custom suffix icon,ReactNode,-,
29,value,The selected value,string[] | number[],-,
30,variant,Variants of selector,outlined | borderless | filled,outlined,5.13.0
31,onChange,Callback when finishing cascader select,"(value, selectedOptions) => void",-,
32,onDropdownVisibleChange,Callback when popup shown or hidden,(value) => void,-,4.17.0
33,multiple,Support multiple or not,boolean,-,4.17.0
34,removeIcon,The custom remove icon,ReactNode,-,
35,showCheckedStrategy,The way show selected item in box. ** SHOW_CHILD: ** just show child treeNode. Cascader.SHOW_PARENT: just show parent treeNode (when all child treeNode under the parent treeNode are checked),Cascader.SHOW_PARENT | Cascader.SHOW_CHILD,Cascader.SHOW_PARENT,4.20.0
36,searchValue,"Set search value, Need work with showSearch",string,-,4.17.0
37,onSearch,The callback function triggered when input changed,(search: string) => void,-,4.17.0
38,dropdownMenuColumnStyle,The style of the drop-down menu column,CSSProperties,-,
39,loadingIcon,The appearance of lazy loading (now is useless),ReactNode,-,
