,Property,Description,Type,Default,Version
0,allowClear,Customize clear button,boolean | { clearIcon?: ReactNode },true,5.8.0: Support object type
1,autoFocus,If get focus when component mounted,boolean,false,
2,className,The picker className,string,-,
3,dateRender,"Custom rendering function for date cells, >= 5.4.0 use cellRender instead.","function(currentDate: dayjs, today: dayjs) => React.ReactNode",-,< 5.4.0
4,cellRender,Custom rendering function for picker cells,"(current: dayjs, info: { originNode: React.ReactElement,today: DateType, range?: 'start' | 'end', type: PanelMode, locale?: Locale, subType?: 'hour' | 'minute' | 'second' | 'meridiem' }) => React.ReactNode",-,5.4.0
5,components,Custom panels,"Record<Panel | 'input', React.ComponentType>",-,5.14.0
6,disabled,Determine whether the DatePicker is disabled,boolean,false,
7,disabledDate,Specify the date that cannot be selected,"(currentDate: dayjs, info: { from?: dayjs }) => boolean",-,info: 5.14.0
8,format,"To set the date format, support multi-format matching when it is an array, display the first one shall prevail. refer to dayjs#format. for example: Custom Format",formatType,rc-picker,
9,order,Auto order date when multiple or range selection,boolean,true,5.14.0
10,popupClassName,To customize the className of the popup calendar,string,-,4.23.0
11,preserveInvalidOnBlur,Not clean input on blur even when the typing is invalidate,boolean,false,5.14.0
12,getPopupContainer,"To set the container of the floating layer, while the default is to create a div element in body",function(trigger),-,
13,inputReadOnly,Set the readonly attribute of the input tag (avoids virtual keyboard on touch devices),boolean,false,
14,locale,Localization configuration,object,default,
15,minDate,"The minimum date, which also limits the range of panel switching",dayjs,-,5.14.0
16,maxDate,"The maximum date, which also limits the range of panel switching",dayjs,-,5.14.0
17,mode,The picker panel mode（ Cannot select year or month anymore? ),time | date | month | year | decade,-,
18,needConfirm,Need click confirm button to trigger value change. Default false when multiple,boolean,-,5.14.0
19,nextIcon,The custom next icon,ReactNode,-,4.17.0
20,open,The open state of picker,boolean,-,
21,panelRender,Customize panel render,(panelNode) => ReactNode,-,4.5.0
22,picker,Set picker type,date | week | month | quarter | year,date,quarter: 4.1.0
23,placeholder,The placeholder of date input,"string | [string,string]",-,
24,placement,The position where the selection box pops up,bottomLeft bottomRight topLeft topRight,bottomLeft,
25,popupStyle,To customize the style of the popup calendar,CSSProperties,{},
26,presets,"The preset ranges for quick selection, Since 5.8.0, preset value supports callback function.","{ label: React.ReactNode, value: Dayjs | (() => Dayjs) }[]",-,
27,prevIcon,The custom prev icon,ReactNode,-,4.17.0
28,size,"To determine the size of the input box, the height of large and small, are 40px and 24px respectively, while default size is 32px",large | middle | small,-,
29,status,Set validation status,'error' | 'warning',-,4.19.0
30,style,To customize the style of the input box,CSSProperties,{},
31,suffixIcon,The custom suffix icon,ReactNode,-,
32,superNextIcon,The custom super next icon,ReactNode,-,4.17.0
33,superPrevIcon,The custom super prev icon,ReactNode,-,4.17.0
34,variant,Variants of picker,outlined | borderless | filled,outlined,5.13.0
35,onOpenChange,"Callback function, can be executed whether the popup calendar is popped up or closed",function(open),-,
36,onPanelChange,Callback when picker panel mode is changed,"function(value, mode)",-,
