,Property,Description,Type,Default,Version
0,bordered,Whether to display the border,boolean,false,
1,colon,Change default props colon value of Descriptions.Item,boolean,true,
2,column,"The number of DescriptionItems in a row,could be a number or a object like { xs: 8, sm: 16, md: 24},(Only set bordered={true} to take effect)","number | Record<Breakpoint, number>",3,
3,contentStyle,Customize content style,CSSProperties,-,4.10.0
4,extra,"The action area of the description list, placed at the top-right",ReactNode,-,4.5.0
5,items,Describe the contents of the list item,DescriptionsItem[],-,5.8.0
6,labelStyle,Customize label style,CSSProperties,-,4.10.0
7,layout,Define description layout,horizontal | vertical,horizontal,
8,size,"Set the size of the list. Can be set to middle,small, or not filled",default | middle | small,-,
9,title,"The title of the description list, placed at the top",ReactNode,-,
