,Props,Description,Type,Default,Version
0,autoFocus,Whether Drawer should get focused after open,boolean,true,4.17.0
1,afterOpenChange,Callback after the animation ends when switching drawers,function(open),-,
2,className,Config Drawer Panel className. Use rootClassName if want to config top DOM style,string,-,
3,classNames,Semantic structure className,"Record<SemanticDOM, string>",-,5.10.0
4,closeIcon,Custom close icon. 5.7.0: close button will be hidden when setting to null or false,ReactNode,<CloseOutlined />,
5,destroyOnClose,Whether to unmount child components on closing drawer or not,boolean,false,
6,extra,Extra actions area at corner,ReactNode,-,4.17.0
7,footer,The footer for Drawer,ReactNode,-,
8,forceRender,Pre-render Drawer component forcibly,boolean,false,
9,getContainer,mounted node and display window for Drawer,HTMLElement | () => HTMLElement | Selectors | false,body,
10,headerStyle,Style of the drawer header part,CSSProperties,-,
11,height,"Placement is top or bottom, height of the Drawer dialog",string | number,378,
12,keyboard,Whether support press esc to close,boolean,true,
13,mask,Whether to show mask or not,boolean,true,
14,maskClosable,Clicking on the mask (area outside the Drawer) to close the Drawer or not,boolean,true,
15,placement,The placement of the Drawer,top | right | bottom | left,right,
16,push,Nested drawers push behavior,boolean | { distance: string | number },{ distance: 180 },4.5.0+
17,rootStyle,Style of wrapper element which contains mask compare to style,CSSProperties,-,
18,style,Style of Drawer panel. Use bodyStyle if want to config body only,CSSProperties,-,
19,styles,Semantic structure style,"Record<SemanticDOM, CSSProperties>",-,5.10.0
20,size,"preset size of drawer, default 378px and large 736px",'default' | 'large','default',4.17.0
21,title,The title for Drawer,ReactNode,-,
22,open,Whether the Drawer dialog is visible or not,boolean,false,
23,width,Width of the Drawer dialog,string | number,378,
24,zIndex,The z-index of the Drawer,number,1000,
25,onClose,"Specify a callback that will be called when a user clicks mask, close button or Cancel button",function(e),-,
