,Property,Description,Type,Default,Version
0,arrow,Whether the dropdown arrow should be visible,boolean | { pointAtCenter: boolean },false,
1,autoAdjustOverflow,Whether to adjust dropdown placement automatically when dropdown is off screen,boolean,true,5.2.0
2,autoFocus,Focus element in overlay when opened,boolean,false,4.21.0
3,disabled,Whether the dropdown menu is disabled,boolean,-,
4,destroyPopupOnHide,Whether destroy dropdown when hidden,boolean,false,
5,dropdownRender,Customize dropdown content,(menus: ReactNode) => ReactNode,-,4.24.0
6,getPopupContainer,"To set the container of the dropdown menu. The default is to create a div element in body, but you can reset it to the scrolling area and make a relative reposition. Example on CodePen",(triggerNode: HTMLElement) => HTMLElement,() => document.body,
7,menu,The menu props,MenuProps,-,4.24.0
8,overlayClassName,The class name of the dropdown root element,string,-,
9,overlayStyle,The style of the dropdown root element,CSSProperties,-,
10,placement,Placement of popup menu: bottom bottomLeft bottomRight top topLeft topRight,string,bottomLeft,
11,trigger,The trigger mode which executes the dropdown action. Note that hover can't be used on touchscreens,Array<click|hover|contextMenu>,[hover],
12,open,Whether the dropdown menu is currently open. Use visible under 4.23.0 (why?),boolean,-,4.23.0
13,onOpenChange,Called when the open state is changed. Not trigger when hidden by click item. Use onVisibleChange under 4.23.0 (why?),"(open: boolean, info: { source: 'trigger' | 'menu' }) => void",-,info.source: 5.11.0
