,Property,Description,Type,Default,Version
0,colon,Configure the default value of colon for Form.Item. Indicates whether the colon after the label is displayed (only effective when prop layout is horizontal),boolean,true,
1,disabled,"Set form component disable, only available for antd components",boolean,false,4.21.0
2,component,Set the Form rendering element. Do not create a DOM node for false,ComponentType | false,form,
3,fields,Control of form fields through state management (such as redux). Not recommended for non-strong demand. View example,FieldData[],-,
4,form,Form control instance created by Form.useForm(). Automatically created when not provided,FormInstance,-,
5,feedbackIcons,Can be passed custom icons while Form.Item element has hasFeedback,FeedbackIcons,-,5.9.0
6,initialValues,Set value by Form initialization or reset,object,-,
7,labelAlign,The text align of label of all items,left | right,right,
8,labelWrap,whether label can be wrap,boolean,false,4.18.0
9,labelCol,"Label layout, like <Col> component. Set span offset value like {span: 3, offset: 12} or sm: {span: 3, offset: 12}",object,-,
10,layout,Form layout,horizontal | vertical | inline,horizontal,
11,name,Form name. Will be the prefix of Field id,string,-,
12,preserve,Keep field value even when field removed. You can get the preserve field value by getFieldsValue(true),boolean,true,4.4.0
13,requiredMark,Required mark style. Can use required mark or optional mark. You can not config to single Form.Item since this is a Form level config,"boolean | optional | ((label: ReactNode, info: { required: boolean }) => ReactNode)",true,renderProps: 5.9.0
14,scrollToFirstError,Auto scroll to first failed field when submit,boolean | Options,false,
15,size,Set field component size (antd components only),small | middle | large,-,
16,validateMessages,"Validation prompt template, description see below",ValidateMessages,-,
17,validateTrigger,Config field validate trigger,string | string[],onChange,4.3.0
18,variant,Variant of components inside form,outlined | borderless | filled,outlined,5.13.0
19,wrapperCol,"The layout for input controls, same as labelCol",object,-,
20,onFieldsChange,Trigger when field updated,"function(changedFields, allFields)",-,
21,onFinish,Trigger after submitting the form and verifying data successfully,function(values),-,
22,onFinishFailed,Trigger after submitting the form and verifying data failed,"function({ values, errorFields, outOfDate })",-,
23,onValuesChange,Trigger when value updated,"function(changedValues, allValues)",-,
