,Property,Description,Type,Default,Version
0,bordered,Toggles rendering of the border around the list,boolean,false,
1,dataSource,DataSource array for list,any[],-,
2,footer,List footer renderer,ReactNode,-,
3,grid,"The grid type of list. You can set grid to something like {gutter: 16, column: 4}",object,-,
4,header,List header renderer,ReactNode,-,
5,itemLayout,The layout of list,horizontal | vertical,horizontal,
6,loading,Shows a loading indicator while the contents of the list are being fetched,boolean | SpinProps (more),false,
7,loadMore,Shows a load more content,ReactNode,-,
8,locale,The i18n text including empty text,object,{emptyText: No Data},
9,pagination,"Pagination config, hide it by setting it to false",boolean | object,false,
10,renderItem,Customize list item when using dataSource,(item) => ReactNode,-,
11,rowKey,"Item's unique value, could be an Item's key which holds a unique value of type React.Key or function that receives Item and returns a React.Key",keyof T | (item: T) => React.Key,"""key""",
12,size,Size of list,default | large | small,default,
13,split,Toggles rendering of the split under the list item,boolean,true,
