,Param,Description,Type,Default value,Version
0,defaultOpenKeys,Array with the keys of default opened sub menus,string[],-,
1,defaultSelectedKeys,Array with the keys of default selected menu items,string[],-,
2,expandIcon,custom expand icon of submenu,ReactNode | (props: SubMenuProps & { isSubMenu: boolean }) => ReactNode,-,4.9.0
3,forceSubMenuRender,Render submenu into DOM before it becomes visible,boolean,false,
4,inlineCollapsed,Specifies the collapsed status when menu is inline mode,boolean,-,
5,inlineIndent,Indent (in pixels) of inline menu items on each level,number,24,
6,items,Menu item content,ItemType[],-,4.20.0
7,mode,Type of menu,vertical | horizontal | inline,vertical,
8,multiple,Allows selection of multiple items,boolean,false,
9,openKeys,Array with the keys of currently opened sub-menus,string[],-,
10,overflowedIndicator,Customized the ellipsis icon when menu is collapsed horizontally,ReactNode,<EllipsisOutlined />,
11,selectable,Allows selecting menu items,boolean,true,
12,selectedKeys,Array with the keys of currently selected menu items,string[],-,
13,style,Style of the root node,CSSProperties,-,
14,subMenuCloseDelay,Delay time to hide submenu when mouse leaves (in seconds),number,0.1,
15,subMenuOpenDelay,"Delay time to show submenu when mouse enters, (in seconds)",number,0,
16,theme,Color theme of the menu,light | dark,light,
17,triggerSubMenuAction,Which action can trigger submenu open/close,hover | click,hover,
18,onClick,Called when a menu item is clicked,"function({ item, key, keyPath, domEvent })",-,
19,onDeselect,Called when a menu item is deselected (multiple mode only),"function({ item, key, keyPath, selectedKeys, domEvent })",-,
20,onOpenChange,Called when sub-menus are opened or closed,function(openKeys: string[]),-,
21,onSelect,Called when a menu item is selected,"function({ item, key, keyPath, selectedKeys, domEvent })",-,
