,Property,Description,Type,Default,Version
0,current,Current page number,number,-,
1,defaultCurrent,Default initial page number,number,1,
2,defaultPageSize,Default number of data items per page,number,10,
3,disabled,Disable pagination,boolean,-,
4,hideOnSinglePage,Whether to hide pager on single page,boolean,false,
5,itemRender,To customize item's innerHTML,"(page, type: 'page' | 'prev' | 'next', originalElement) => React.ReactNode",-,
6,pageSize,Number of data items per page,number,-,
7,pageSizeOptions,Specify the sizeChanger options,string[] | number[],"[10, 20, 50, 100]",
8,responsive,"If size is not specified, Pagination would resize according to the width of the window",boolean,-,
9,showLessItems,Show less page items,boolean,false,
10,showQuickJumper,Determine whether you can jump to pages directly,boolean | { goButton: ReactNode },false,
11,showSizeChanger,"Determine whether to show pageSize select, it will be true when total > 50",boolean,-,
12,showTitle,Show page item's title,boolean,true,
13,showTotal,To display the total number and range,"function(total, range)",-,
14,simple,Whether to use simple mode,boolean,-,
15,size,"Specify the size of Pagination, can be set to small",default | small,default,
16,total,Total number of data items,number,0,
17,onChange,"Called when the page number or pageSize is changed, and it takes the resulting page number and pageSize as its arguments","function(page, pageSize)",-,
18,onShowSizeChange,Called when pageSize is changed,"function(current, size)",-,
