,Property,Description,Type,Default,Version
0,allowClear,Customize clear icon,boolean | { clearIcon?: ReactNode },false,5.8.0: Support object type
1,autoClearSearchValue,Whether the current search will be cleared on selecting an item. Only applies when mode is set to multiple or tags,boolean,true,
2,autoFocus,Get focus by default,boolean,false,
3,defaultActiveFirstOption,Whether active first option by default,boolean,true,
4,defaultOpen,Initial open state of dropdown,boolean,-,
5,defaultValue,Initial selected option,string | string[] | number | number[] | LabeledValue | LabeledValue[],-,
6,disabled,Whether disabled select,boolean,false,
7,popupClassName,The className of dropdown menu,string,-,4.23.0
8,popupMatchSelectWidth,Determine whether the popup menu and the select input are the same width. Default set min-width same as input. Will ignore when value less than select width. false will disable virtual scroll,boolean | number,true,5.5.0
9,dropdownRender,Customize dropdown content,(originNode: ReactNode) => ReactNode,-,
10,dropdownStyle,The style of dropdown menu,CSSProperties,-,
11,fieldNames,"Customize node label, value, options，groupLabel field name",object,"{ label: label, value: value, options: options, groupLabel: label }",4.17.0 (groupLabel added in 5.6.0)
12,filterOption,"If true, filter options by input, if function, filter options against it. The function will receive two arguments, inputValue and option, if the function returns true, the option will be included in the filtered set; Otherwise, it will be excluded","boolean | function(inputValue, option)",true,
13,filterSort,"Sort function for search options sorting, see Array.sort's compareFunction","(optionA: Option, optionB: Option) => number",-,4.9.0
14,getPopupContainer,"Parent Node which the selector should be rendered to. Default to body. When position issues happen, try to modify it into scrollable content and position it relative. Example",function(triggerNode),() => document.body,
15,labelInValue,"Whether to embed label in value, turn the format of value from string to { value: string, label: ReactNode }",boolean,false,
16,listHeight,Config popup height,number,256,
17,loading,Indicate loading state,boolean,false,
18,maxCount,"The max number of items can be selected, only applies when mode is multiple or tags",number,-,5.13.0
19,maxTagCount,Max tag count to show. responsive will cost render performance,number | responsive,-,responsive: 4.10
20,maxTagPlaceholder,Placeholder for not showing tags,ReactNode | function(omittedValues),-,
21,maxTagTextLength,Max tag text length to show,number,-,
22,menuItemSelectedIcon,The custom menuItemSelected icon with multiple options,ReactNode,-,
23,mode,Set mode of Select,multiple | tags,-,
24,notFoundContent,Specify content to show when no result matches,ReactNode,Not Found,
25,open,Controlled open state of dropdown,boolean,-,
26,optionFilterProp,"Which prop value of option will be used for filter if filterOption is true. If options is set, it should be set to label",string,value,
27,optionLabelProp,Which prop value of option will render as content of select. Example,string,children,
28,options,Select options. Will get better perf than jsx definition,"{ label, value }[]",-,
29,optionRender,Customize the rendering dropdown options,"(option: FlattenOptionData<BaseOptionType> , info: { index: number }) => React.ReactNode",-,5.11.0
30,placeholder,Placeholder of select,ReactNode,-,
31,placement,The position where the selection box pops up,bottomLeft bottomRight topLeft topRight,bottomLeft,
32,removeIcon,The custom remove icon,ReactNode,-,
33,searchValue,"The current input ""search"" text",string,-,
34,showSearch,Whether select is searchable,boolean,"single: false, multiple: true",
35,size,Size of Select input,large | middle | small,middle,
36,status,Set validation status,'error' | 'warning',-,4.19.0
37,suffixIcon,The custom suffix icon. Customize icon will not response click open to avoid icon designed to do other interactive. You can use pointer-events: none style to bypass,ReactNode,<DownOutlined />,
38,tagRender,"Customize tag render, only applies when mode is set to multiple or tags",(props) => ReactNode,-,
39,labelRender,Customize selected label render,(label: ReactNode) => ReactNode,-,5.15.0
40,tokenSeparators,"Separator used to tokenize, only applies when mode=""tags""",string[],-,
41,value,Current selected option (considered as a immutable array),string | string[] | number | number[] | LabeledValue | LabeledValue[],-,
42,variant,Variants of selector,outlined | borderless | filled,outlined,5.13.0
43,virtual,Disable virtual scroll when set to false,boolean,true,4.1.0
44,onBlur,Called when blur,function,-,
45,onChange,Called when select an option or input value change,"function(value, option:Option | Array<Option>)",-,
46,onClear,Called when clear,function,-,4.6.0
47,onDeselect,"Called when an option is deselected, param is the selected option's value. Only called for multiple or tags, effective in multiple or tags mode only",function(value: string | number | LabeledValue),-,
48,onDropdownVisibleChange,Called when dropdown open,function(open),-,
49,onFocus,Called when focus,function,-,
50,onInputKeyDown,Called when key pressed,function,-,
51,onMouseEnter,Called when mouse enter,function,-,
52,onMouseLeave,Called when mouse leave,function,-,
53,onPopupScroll,Called when dropdown scrolls,function,-,
54,onSearch,Callback function that is fired when input changed,function(value: string),-,
55,onSelect,"Called when an option is selected, the params are option's value (or key) and option instance","function(value: string | number | LabeledValue, option: Option)",-,
