,Property,Description,Type,Default,Version
0,autoFocus,Whether get focus when component mounted,boolean,false,
1,checked,Determine whether the Switch is checked,boolean,false,
2,checkedChildren,The content to be shown when the state is checked,ReactNode,-,
3,className,The additional class to Switch,string,-,
4,defaultChecked,Whether to set the initial state,boolean,false,
5,defaultValue,Alias for defaultChecked,boolean,-,5.12.0
6,disabled,Disable switch,boolean,false,
7,loading,Loading state of switch,boolean,false,
8,size,"The size of the Switch, options: default small",string,default,
9,unCheckedChildren,The content to be shown when the state is unchecked,ReactNode,-,
10,value,Alias for checked,boolean,-,5.12.0
11,onChange,Trigger when the checked state is changing,"function(checked: boolean, event: Event)",-,
12,onClick,Trigger when clicked,"function(checked: boolean, event: Event)",-,
