,Property,Description,Type,Default,Version
0,arrow,"Whether to show the arrow, including the configuration whether to point to the center of the element",boolean|{ pointAtCenter: boolean},true,
1,closeIcon,Customize close icon,React.ReactNode,true,5.9.0
2,disabledInteraction,Disable interaction on highlighted area.,boolean,false,5.13.0
3,placement,Position of the guide card relative to the target element,center left leftTop leftBottom right rightTop rightBottom top topLeft topRight bottom bottomLeft bottomRight,bottom,
4,onClose,Callback function on shutdown,Function,-,
5,mask,"Whether to enable masking, change mask style and fill color by pass custom props",boolean | { style?: React.CSSProperties; color?: string; },true,
6,type,"Type, affects the background color and text color",default primary,default,
7,open,Open tour,boolean,-,
8,onChange,Callback when the step changes. Current is the previous step,(current: number) => void,-,
9,current,What is the current step,number,-,
10,scrollIntoViewOptions,support pass custom scrollIntoView options,boolean | ScrollIntoViewOptions,true,5.2.0
11,indicatorsRender,custom indicator,"(current: number, total: number) => ReactNode",-,5.2.0
12,zIndex,Tour's zIndex,number,1001,5.3.0
13,getPopupContainer,Set the rendering node of Tour floating layer,(node: HTMLElement) => HTMLElement,body,5.12.0
