,Property,Description,Type,Default,Version
0,dataSource,Used for setting the source data. The elements that are part of this array will be present the left column. Except the elements whose keys are included in targetKeys prop,RecordType extends TransferItem = TransferItem[],[],
1,disabled,Whether disabled transfer,boolean,false,
2,selectionsIcon,custom dropdown icon,React.ReactNode,,5.8.0
3,filterOption,"A function to determine whether an item should show in search result list, only works when searching, (add direction support since 5.9.0+)","(inputValue, option, direction: left | right): boolean",-,
4,footer,A function used for rendering the footer,"(props, { direction }) => ReactNode",-,direction: 4.17.0
5,listStyle,A custom CSS style used for rendering the transfer columns,object | ({direction: left | right}) => object,-,
6,locale,"The i18n text including filter, empty text, item unit, etc",{ itemUnit: string; itemsUnit: string; searchPlaceholder: string; notFoundContent: ReactNode | ReactNode[]; },"{ itemUnit: item, itemsUnit: items, notFoundContent: The list is empty, searchPlaceholder: Search here }",
7,oneWay,Display as single direction style,boolean,false,4.3.0
8,operations,A set of operations that are sorted from top to bottom,string[],"[>, <]",
9,operationStyle,A custom CSS style used for rendering the operations column,object,-,
10,pagination,Use pagination. Not work in render props,"boolean | { pageSize: number, simple: boolean, showSizeChanger?: boolean, showLessItems?: boolean }",false,4.3.0
11,render,"The function to generate the item shown on a column. Based on an record (element of the dataSource array), this function should return a React element which is generated from that record. Also, it can return a plain object with value and label, label is a React element and value is for title",(record) => ReactNode,-,
12,selectAllLabels,A set of customized labels for select all checkboxes on the header,"(ReactNode | (info: { selectedCount: number, totalCount: number }) => ReactNode)[]",-,
13,selectedKeys,A set of keys of selected items,string[],[],
14,showSearch,"If included, a search box is shown on each column",boolean,false,
15,showSelectAll,Show select all checkbox on the header,boolean,true,
16,status,Set validation status,'error' | 'warning',-,4.19.0
17,targetKeys,A set of keys of elements that are listed on the right column,string[],[],
18,titles,A set of titles that are sorted from left to right,ReactNode[],-,
19,onChange,A callback function that is executed when the transfer between columns is complete,"(targetKeys, direction, moveKeys): void",-,
20,onScroll,A callback function which is executed when scroll options list,"(direction, event): void",-,
21,onSearch,A callback function which is executed when search field are changed,"(direction: left | right, value: string): void",-,
22,onSelectChange,A callback function which is executed when selected items are changed,"(sourceSelectedKeys, targetSelectedKeys): void",-,
