,Property,Description,Type,Default,Version
0,allowDrop,Whether to allow dropping on the node,"({ dropNode, dropPosition }) => boolean",-,
1,autoExpandParent,Whether to automatically expand a parent treeNode,boolean,false,
2,blockNode,Whether treeNode fill remaining horizontal space,boolean,false,
3,checkable,Add a Checkbox before the treeNodes,boolean,false,
4,checkedKeys,"(Controlled) Specifies the keys of the checked treeNodes (PS: When this specifies the key of a treeNode which is also a parent treeNode, all the children treeNodes of will be checked; and vice versa, when it specifies the key of a treeNode which is a child treeNode, its parent treeNode will also be checked. When checkable and checkStrictly is true, its object has checked and halfChecked property. Regardless of whether the child or parent treeNode is checked, they won't impact each other","string[] | {checked: string[], halfChecked: string[]}",[],
5,checkStrictly,Check treeNode precisely; parent treeNode and children treeNodes are not associated,boolean,false,
6,defaultCheckedKeys,Specifies the keys of the default checked treeNodes,string[],[],
7,defaultExpandAll,Whether to expand all treeNodes by default,boolean,false,
8,defaultExpandedKeys,Specify the keys of the default expanded treeNodes,string[],[],
9,defaultExpandParent,If auto expand parent treeNodes when init,boolean,true,
10,defaultSelectedKeys,Specifies the keys of the default selected treeNodes,string[],[],
11,disabled,Whether disabled the tree,boolean,false,
12,draggable,Specifies whether this Tree or the node is draggable. Use icon: false to disable drag handler icon,"boolean | ((node: DataNode) => boolean) | { icon?: React.ReactNode | false, nodeDraggable?: (node: DataNode) => boolean }",false,config: 4.17.0
13,expandedKeys,(Controlled) Specifies the keys of the expanded treeNodes,string[],[],
14,fieldNames,"Customize node title, key, children field name",object,"{ title: title, key: key, children: children }",4.17.0
15,filterTreeNode,"Defines a function to filter (highlight) treeNodes. When the function returns true, the corresponding treeNode will be highlighted",function(node),-,
16,height,Config virtual scroll height. Will not support horizontal scroll when enable this,number,-,
17,icon,Customize treeNode icon,ReactNode | (props) => ReactNode,-,
18,loadData,Load data asynchronously,function(node),-,
19,loadedKeys,(Controlled) Set loaded tree nodes. Need work with loadData,string[],[],
20,multiple,Allows selecting multiple treeNodes,boolean,false,
21,rootStyle,Style on the root element,CSSProperties,-,4.20.0
22,selectable,Whether can be selected,boolean,true,
23,selectedKeys,"(Controlled) Specifies the keys of the selected treeNodes, multiple selection needs to set multiple to true",string[],-,
24,showIcon,Shows the icon before a TreeNode's title. There is no default style; you must set a custom style for it if set to true,boolean,false,
25,showLine,Shows a connecting line,boolean | {showLeafIcon: ReactNode | ((props: AntTreeNodeProps) => ReactNode)},false,
26,switcherIcon,Customize collapse/expand icon of tree node,ReactNode | ((props: AntTreeNodeProps) => ReactNode),-,renderProps: 4.20.0
27,titleRender,Customize tree node title render,(nodeData) => ReactNode,-,4.5.0
28,treeData,"The treeNodes data Array, if set it then you need not to construct children TreeNode. (key should be unique across the whole array)","array<{ key, title, children, [disabled, selectable] }>",-,
29,virtual,Disable virtual scroll when set to false,boolean,true,4.1.0
30,onCheck,Callback function for when the onCheck event occurs,"function(checkedKeys, e:{checked: boolean, checkedNodes, node, event, halfCheckedKeys})",-,
31,onDragEnd,Callback function for when the onDragEnd event occurs,"function({event, node})",-,
32,onDragEnter,Callback function for when the onDragEnter event occurs,"function({event, node, expandedKeys})",-,
33,onDragLeave,Callback function for when the onDragLeave event occurs,"function({event, node})",-,
34,onDragOver,Callback function for when the onDragOver event occurs,"function({event, node})",-,
35,onDragStart,Callback function for when the onDragStart event occurs,"function({event, node})",-,
36,onDrop,Callback function for when the onDrop event occurs,"function({event, node, dragNode, dragNodesKeys})",-,
37,onExpand,Callback function for when a treeNode is expanded or collapsed,"function(expandedKeys, {expanded: boolean, node})",-,
38,onLoad,Callback function for when a treeNode is loaded,"function(loadedKeys, {event, node})",-,
39,onRightClick,Callback function for when the user right clicks a treeNode,"function({event, node})",-,
40,onSelect,Callback function for when the user clicks a treeNode,"function(selectedKeys, e:{selected: boolean, selectedNodes, node, event})",-,
