,Property,Description,Type,Default,Version
0,code,Code style,boolean,false,
1,copyable,"Whether to be copyable, customize it via setting an object",boolean | copyable,false,copyable
2,delete,Deleted line style,boolean,false,
3,disabled,Disabled content,boolean,false,
4,editable,If editable. Can control edit state when is object,boolean | editable,false,editable
5,ellipsis,"Display ellipsis when text overflows, can't configure expandable、rows and onExpand by using object. Diff with Typography.Paragraph, Text do not have 100% width style which means it will fix width on the first ellipsis. If you want to have responsive ellipsis, please set width manually","boolean | Omit<ellipsis, 'expandable' | 'rows' | 'onExpand'>",false,ellipsis
6,keyboard,Keyboard style,boolean,false,4.3.0
7,mark,Marked style,boolean,false,
8,onClick,Set the handler to handle click event,(event) => void,-,
9,strong,Bold style,boolean,false,
10,italic,Italic style,boolean,false,4.16.0
11,type,Content type,secondary | success | warning | danger,-,success: 4.6.0
12,underline,Underlined style,boolean,false,
