,Property,Description,Type,Default,Version
0,accept,File types that can be accepted. See input accept Attribute,string,-,
1,action,Uploading URL,string | (file) => Promise<string>,-,
2,beforeUpload,"Hook function which will be executed before uploading. Uploading will be stopped with false or a rejected Promise returned. When returned value is Upload.LIST_IGNORE, the list of files that have been uploaded will ignore it. Warning：this function is not supported in IE9","(file, fileList) => boolean | Promise<File> | Upload.LIST_IGNORE",-,
3,customRequest,Override for the default xhr behavior allowing for additional customization and the ability to implement your own XMLHttpRequest,function,-,
4,data,Uploading extra params or function which can return uploading extra params,object | (file) => object | Promise<object>,-,
5,defaultFileList,Default list of files that have been uploaded,object[],-,
6,directory,Support upload whole directory (caniuse),boolean,false,
7,disabled,Disable upload button,boolean,false,"When customizing Upload children, please pass the disabled attribute to the child node at the same time to ensure the disabled rendering effect is consistent."
8,fileList,List of files that have been uploaded (controlled). Here is a common issue #2423 when using it,UploadFile[],-,
9,headers,"Set request headers, valid above IE10",object,-,
10,iconRender,Custom show icon,"(file: UploadFile, listType?: UploadListType) => ReactNode",-,
11,isImageUrl,Customize if render <img /> in thumbnail,(file: UploadFile) => boolean,(inside implementation),
12,itemRender,Custom item of uploadList,"(originNode: ReactElement, file: UploadFile, fileList: object[], actions: { download: function, preview: function, remove: function }) => React.ReactNode",-,4.16.0
13,listType,"Built-in stylesheets, support for four types: text, picture, picture-card or picture-circle",string,text,picture-circle(5.2.0+)
14,maxCount,Limit the number of uploaded files. Will replace current one when maxCount is 1,number,-,4.10.0
15,method,The http method of upload request,string,post,
16,multiple,Whether to support selected multiple files. IE10+ supported. You can select multiple files with CTRL holding down while multiple is set to be true,boolean,false,
17,name,The name of uploading file,string,file,
18,openFileDialogOnClick,Click open file dialog,boolean,true,
19,previewFile,Customize preview file logic,(file: File | Blob) => Promise<dataURL: string>,-,
20,progress,Custom progress bar,"ProgressProps (support type=""line"" only)","{ strokeWidth: 2, showInfo: false }",4.3.0
21,showUploadList,"Whether to show default upload list, could be an object to specify showPreviewIcon, showRemoveIcon, showDownloadIcon, removeIcon and downloadIcon individually","boolean | { showPreviewIcon?: boolean, showDownloadIcon?: boolean, showRemoveIcon?: boolean, previewIcon?: ReactNode | (file: UploadFile) => ReactNode, removeIcon?: ReactNode | (file: UploadFile) => ReactNode, downloadIcon?: ReactNode | (file: UploadFile) => ReactNode }",true,function: 4.7.0
22,withCredentials,The ajax upload with cookie sent,boolean,false,
23,onChange,"A callback function, can be executed when uploading state is changing. It will trigger by every uploading phase. see onChange",function,-,
24,onDrop,A callback function executed when files are dragged and dropped into the upload area,(event: React.DragEvent) => void,-,4.16.0
25,onDownload,"Click the method to download the file, pass the method to perform the method logic, and do not pass the default jump to the new TAB",function(file): void,(Jump to new TAB),
26,onPreview,"A callback function, will be executed when the file link or preview icon is clicked",function(file),-,
27,onRemove,"A callback function, will be executed when removing file button is clicked, remove event will be prevented when the return value is false or a Promise which resolve(false) or reject",function(file): boolean | Promise,-,
